Year;Tot PEC (Quadrillion BTU);Energy (TWh)
1850;2.357;635.5567701
1855;2.81;757.7066287
1860;3.162;852.6221922
1865;3.409;919.2248745
1870;3.952;1065.642917
1875;4.323;1165.681764
1880;5.001;1348.502082
1885;5.645;1522.15442
1890;7.012;1890.761167
1895;7.661;2065.761738
1900;9.587;2585.100872
1905;13.212;3562.569387
1910;16.565;4466.694059
1915;17.734;4781.910802
1920;21.334;5752.638156
1925;22.382;6035.227674
1930;23.68;6385.228814
1935;20.436;5510.49561
1940;25.205;6796.439707
1945;32.665;8808.002501
1950;34.616;9334.082797
1955;40.208;10841.94595
1960;45.086;12157.28152
1965;54.015;14564.955
1966;57.05318162;15384.19
1967;59.04007937;15919.95
1968;62.63256452;16888.651
1969;65.98110434;17791.573
1970;68.21231457;18393.211
1971;69.63025999;18775.555
1972;73.20736203;19740.108
1973;76.21597901;20551.371
1974;74.29583903;20033.612
1975;72.48344383;19544.906
1976;76.4311385;20609.388
1977;78.44035066;21151.165
1978;78.79568998;21246.981
1979;79.72498078;21497.561
1980;76.83205601;20717.494
1981;74.57849801;20109.83
1982;71.46979072;19271.578
1983;71.15348769;19186.288
1984;74.93831727;20206.854
1985;74.7523701;20156.714
1986;75.20617539;20279.081
1987;77.75110007;20965.311
1988;81.31032315;21925.043
1989;83.24710714;22447.29
1990;83.43575414;22498.158
1991;83.31900498;22466.677
1992;84.56768062;22803.378
1993;86.33302162;23279.396
1994;87.94015919;23712.755
1995;89.82981852;24222.295
1996;92.84539276;25035.434
1997;93.550783;25225.64
1998;94.1652987;25391.342
1999;95.83215891;25840.805
2000;98.00781492;26427.463
2001;95.69586935;25804.055
2002;97.08090872;26177.526
2003;97.38584872;26259.752
2004;99.30367085;26776.886
2005;99.34549598;26788.164
2006;98.54305646;26571.789
2007;99.921502;26943.482
2008;97.45350768;26277.996
2009;92.63578499;24978.914
2010;95.77628946;25825.74
2011;94.86539683;25580.121
2012;92.39240707;24913.288
2013;94.87272865;25582.098
2014;95.86032913;25848.401
2015;94.92786751;25596.966
2016;94.79270535;25560.52
2017;95.1148642;25647.389
2018;98.48594093;26556.388
2019;97.50305032;26291.355
;;0.587
;;0.587
;;0.587
;;0.587
;;0.587
;;0.632
;;0.563
;;0.563
;;0.764
;;1.225
;;1.288
;;1.288
;;1.205
;;1.14
;;1.14
;;1.202
;;1.205
;;1.202
;;1.202
;;1.202
;;1.216
;;1.216
;;1.216
;;1.216
;;1.216
;;1.216
;;1.243
;;1.243
;;1.247
;;1.243
;;1.454
;;1.243
;;1.247
;;1.243
;;1.243
;;1.243
;;1.208
;;11.733
;;11.733
;;11.733
;;11.733
;;11.733
;;11.733
;;12.474
;;12.525
;;12.246
;;12.198
;;12.739
;;13.18
;;13.974
;;14.586
;;14.37
;;13.914
;;13.709
;;13.603
;;13.649
;;14
;;40.656
;;56.134
;;55.789
;;65.694
;;67.352
;;65.881
;;70.099
;;65.439
;;37.923
;;33.104
;;29.954
;;19.833
;;11.364
;;5.964
;;12.196
;;12.116
;;11.997
