Year;Energy (Mtep)
1800;151
1810;163
1820;178
1830;180
1840;184
1850;187
1860;189
1870;191
1880;205
1890;222
1900;242
1910;264
1920;286
1930;320
1940;359
1950;369
1960;707
1965;664.0997748
1966;723.7806299
1967;758.034224
1968;816.9557114
1969;928.4113434
1970;1057
1971;1157.646263
1972;1226.164494
1973;1324.465114
1974;1352.929975
1975;1404.755984
1976;1472.536804
1977;1558.164433
1978;1664.241189
1979;1741.765515
1980;1756.950943
1981;1769.207656
1982;1782.907604
1983;1865.884509
1984;1997.06367
1985;2098.534528
1986;2189.026014
1987;2312.35752
1988;2480.961027
1989;2613.62464
1990;2718.801557
1991;2844.185564
1992;2975.525098
1993;3133.030332
1994;3305.946467
1995;3459.904604
1996;3620.592787
1997;3731.657051
1998;3723.154419
1999;3873.386338
2000;4014.359596
2001;4143.893931
2002;4355.387972
2003;4717.778027
2004;5173.003155
2005;5582.090983
2006;5911.658095
2007;6280.292324
2008;6451.353825
2009;6598.029274
2010;7019.442895
2011;7395.002213
2012;7633.315903
2013;7868.143744
2014;8030.622618
2015;8154.421635
2016;8315.064878
2017;8562.47095
2018;8893.664398
2019;9186.432994
