Year,GDP per capita,Population,Entity,Code,Primary energy (TWh),Energy(PJ)-Time(Year),GDP(2011$)-Time(year),Energy(PJ)-GDP(10e12$),EI(PJ/$)-Time(year)
1965,1253.0,724219008,China,CHN,1532.235,2202.6357364190744,957396275151.1818,8816.590174080637,5.592458267462689e-09
1966,1261.0,742414976,China,CHN,1665.28,3309.789511481021,989278099892.4838,8984.912473667,5.944272187029685e-09
1967,1237.0,762580992,China,CHN,1497.596,4416.943286542548,1023356434366.0431,9026.748208797568,6.296086106596682e-09
1968,1178.0,784075008,China,CHN,1512.598,5524.097061604494,1059866370945.3302,8911.36517616666,6.647900026163677e-09
1969,1264.0,805985984,China,CHN,1841.019,6631.250836666021,1099077792450.6179,9471.849805677373,6.999713945730673e-09
1970,1398.0,827601024,China,CHN,2357.393,7738.404611727968,1141302055028.8047,10297.662289857308,7.351527865297669e-09
1971,1446.0,848760000,China,CHN,2794.9159999999997,8845.558386789915,1186900273031.991,10722.971557615509,7.703341784864665e-09
1972,1431.0,869486016,China,CHN,3012.934,9952.712161851441,1236293672570.1997,10825.87041641199,8.05515570443166e-09
1973,1513.0,889484992,China,CHN,3180.296,11059.865936913387,1289976642527.35,11447.424688172461,8.406969623998555e-09
1974,1519.0,908464000,China,CHN,3279.296,12167.019711974915,1348533340173.676,11658.151071475475,8.758783543565551e-09
1975,1594.0,926241024,China,CHN,3672.6290000000004,13274.173487036862,1412659034576.1406,12257.545732260154,9.110597463132547e-09
1976,1519.0,942684992,China,CHN,3866.91,14381.327262098808,1483187843591.2236,11980.319277371038,9.373491997376916e-09
1977,1583.0,957891008,China,CHN,4216.888,15488.481037160336,1561129216314.879,12507.423267129658,9.273892867369501e-09
1978,1744.0,972204992,China,CHN,4624.29,16595.63481222228,1647716556430.0017,13642.74925513311,9.17429373736211e-09
1979,1859.0,986131968,China,CHN,4763.128,17702.78858728381,1744472976975.0874,14530.13197565378,9.074694607354692e-09
1980,1930.0,1000089024,China,CHN,4856.292,18809.942362345755,1853301667722.4705,15162.674012826801,8.975095477347302e-09
1981,1962.0,1014022016,China,CHN,4790.988,19917.096137407283,1976612338481.6628,15552.94507856973,8.875496347339885e-09
1982,2128.0,1027948992,China,CHN,5002.704000000001,21024.24991246923,2117501738320.6863,16871.962152179676,8.775897217332493e-09
1983,2227.0,1042430976,China,CHN,5324.026999999999,22131.403687531176,2280017302510.717,17779.625629807797,8.676298087325103e-09
1984,2444.0,1058172032,China,CHN,5712.496999999999,23238.557462592704,2469552299322.3096,19606.505818274352,8.576698957317687e-09
1985,2619.0,1075588992,China,CHN,6178.478,24345.71123765465,2686960475668.002,21235.932568326898,8.477099827310295e-09
1986,2748.0,1095014016,China,CHN,6475.321,25452.865012716178,2907768783495.8965,22617.641846927912,8.377500697302879e-09
1987,2931.0,1116094976,China,CHN,6983.141,26560.018787778125,3128577091323.7344,24539.103806737934,8.277901567295487e-09
1988,3045.0,1137724032,China,CHN,7500.799,27667.17256283965,3349385399151.629,25980.126223185092,8.17830243728807e-09
1989,3022.0,1158356992,China,CHN,7870.6669999999995,28774.326337901595,3570193706979.467,26252.550055292544,8.07870330728068e-09
1990,2982.0,1176883968,China,CHN,7972.531,29881.48011296354,3791002014807.3613,26319.76785426945,7.979104177273264e-09
1991,3051.32,1192897024,China,CHN,8375.788,30988.63388802507,4011810322635.199,27308.601027939523,7.879505047265872e-09
1992,3227.74,1206711040,China,CHN,8820.231,32095.787663087016,4232618630463.0938,29269.015691719058,7.779905917258456e-09
1993,3506.48,1218817024,China,CHN,9497.178,33202.94143814855,4453426938290.932,32243.99967729241,7.680306787251064e-09
1994,3730.16,1230019968,China,CHN,10081.194,34310.095213210494,4674235246118.826,34767.12275613249,7.580707657243648e-09
1995,3999.73,1240920960,China,CHN,10390.963,35417.24898827202,4895043553946.664,37836.7688618523,7.481108527236256e-09
1996,4219.64,1251635968,China,CHN,10932.141000000001,36524.402763333965,5115851861774.502,40485.33161671855,7.381509397228839e-09
1997,4310.83,1261996032,China,CHN,10995.761999999999,37631.55653839591,5336660169602.396,41821.92104268294,7.2819102672214485e-09
1998,4309.85,1271981952,China,CHN,11010.818000000001,38738.710313457435,5557468477430.234,42175.26438222515,7.182311137214031e-09
1999,4466.74,1281515008,China,CHN,11396.786,39845.86408851938,5778276785258.129,44233.77096790833,7.08271200720664e-09
2000,4730.35,1290551040,China,CHN,11792.553999999998,40953.01786358091,5999085093085.967,47505.7319916198,6.9831128771992495e-09
2001,4995.14,1299129984,China,CHN,12456.115,45293.715642351846,6219893400913.861,50850.90612951766,6.883513747191834e-09
2002,5343.11,1307352064,China,CHN,13567.957,52116.26752478387,6686469622240.338,55209.301820285786,6.996853064545166e-09
2003,5649.46,1315303936,China,CHN,15798.685,58938.819407217576,7475293030670.173,59151.8593152776,7.64525734872268e-09
2004,6067.59,1323085056,China,CHN,18484.936,65761.37128964961,8264116439099.78,64455.05424464772,8.293661632900398e-09
2005,6626.59,1330776064,China,CHN,21000.495,72583.92317208332,9052939847529.387,71453.44900167256,8.6574823605475e-09
2006,7271.04,1338408960,China,CHN,23022.389,79406.47505451702,9841763255959.223,79410.82270752898,8.534813502872742e-09
2007,7895.71,1345993984,China,CHN,25024.414,86229.02693694904,10630586664388.83,86979.40088475667,8.412144645198038e-09
2008,8190.11,1353569024,China,CHN,25956.957000000002,93051.57881938275,11419410072818.438,90725.19966829602,8.289475787523281e-09
2009,8734.04,1361169024,China,CHN,27089.785,99874.13070181645,12208233481248.045,97031.97219949562,8.166806929848577e-09
2010,9658.42,1368811008,China,CHN,28967.802000000003,106696.68258424848,12997056889677.879,106647.21813939488,8.044138072173821e-09
2011,10221.0,1376498048,China,CHN,31261.361,113519.23446668219,13785880298107.486,112133.91040266004,7.921469214499114e-09
2012,10680.0,1384205952,China,CHN,32512.623,117595.20067556687,14574703706537.094,116329.41175886363,7.798800356824358e-09
2013,11328.0,1391883008,China,CHN,33715.209,120375.30999322153,15363527114966.701,121450.15149449251,7.676131499149654e-09
2014,11944.0,1399453952,China,CHN,34499.453,123155.41931087534,16152350523396.535,125645.95599702508,7.553462641474897e-09
2015,12244.0,1406848000,China,CHN,34826.942,125935.52862852998,16941173931826.143,127606.25247260882,7.430793783800192e-09
2016,12569.0,1414049024,China,CHN,35264.122,128715.63794618464,17729997340255.75,129480.77608791462,7.308124926125436e-09
2017,12733.93,1421021952,China,CHN,36342.177,131495.7472638393,18518820748685.586,130473.89389412865,7.185456068450731e-09
2018,13101.71,1427648000,China,CHN,37714.113,134275.85658149395,19307644157115.19,132137.99506360016,7.062787210775975e-09
