En/CapUnited States,GDP/CapUnited States,ModelUnited States
9.479518943340593e-09,0.363182,85.88228642039981
9.773124219903905e-09,0.416149,91.13061533783666
9.601885403390627e-09,0.44018900000000005,93.56019257382016
9.116960882036144e-09,0.46371599999999996,95.96573174802057
9.379932866116006e-09,0.4803,97.67755016725691
9.151708319441515e-09,0.510512,100.82953485037845
9.44432435852192e-09,0.6255729999999999,113.20374953815777
9.536394856633058e-09,0.642414,115.06043757311447
1.0626935038112605e-08,0.666455,117.729408538998
1.0513049889310159e-08,0.715951,123.28911885260456
1.1964755744401444e-08,0.8037569999999999,133.34364683166487
1.4996029424805373e-08,0.912133,146.0261954944736
1.7090344418918673e-08,0.963678,152.13699696257535
1.6747647653709564e-08,0.9164180000000001,146.53255432784277
1.897814822735211e-08,1.015293,158.29164016810043
1.834698873348572e-08,1.114977,170.23570729896764
1.826653484951318e-08,1.069498,164.7807304866135
1.5230941135910427e-08,0.9680840000000001,152.66114547031782
1.8097279383335844e-08,1.20051,180.49122897805552
2.215925996640891e-08,1.6477549999999999,232.10604517892588
2.115985621848316e-08,1.524,218.38246231753027
2.2734081159522668e-08,1.737,241.61284542532377
2.343936426387452e-08,1.8057,248.67630466149254
2.6251833939139054e-08,2.139,279.24441405019735
2.7431491460950195e-08,2.2529,288.1215314199217
2.8107119613824858e-08,2.2842,290.4120225572936
2.9541968455730156e-08,2.3691,296.296841411285
3.084367175634394e-08,2.4195,299.5622824603039
3.1604512430427224e-08,2.3958,298.047948834499
3.197592911478635e-08,2.4394,300.80472557038286
3.332132451821635e-08,2.5414,306.75691319719374
3.43829708518779e-08,2.6602,312.8186766495035
3.32178801752848e-08,2.6286,311.2968886117554
3.211673498356261e-08,2.5956,309.6378266932112
3.355879467718444e-08,2.7058,314.90028564272745
3.4124567080166355e-08,2.8001,318.78290715090395
3.39615087637938e-08,2.9286,323.18441187501725
3.404220871765219e-08,2.9949,325.06935304840556
3.2501428646132924e-08,2.9611,324.1404539277859
3.1253944982645184e-08,3.0056,325.3496917771691
2.9671151901874076e-08,2.921,322.95184723469293
2.9263499046731353e-08,3.0158,325.6108454867937
3.0532020818931516e-08,3.2076,329.4564524032942
3.0172212224532223e-08,3.3023,330.65151281891696
3.0072411856093005e-08,3.385,331.34409762868376
3.079950951996538e-08,3.473,331.7438840277013
3.190747327911e-08,3.5863,331.7829297972093
3.235956368179525e-08,3.6756,331.4655783405981
3.212492812946216e-08,3.6982,331.33972716627727
3.1775105055803485e-08,3.6463959999999997,331.60145795774014
3.1943592672316375e-08,3.7240300000000004,331.1742935557921
3.2291133887150724e-08,3.776154,330.7724934625582
3.2552469142581645e-08,3.880728,329.7079514967349
3.288540752138299e-08,3.9390629999999995,328.97469693697394
3.358770183277763e-08,4.041275,327.47068335514797
3.342202070836369e-08,4.172267,325.1769951376211
3.321843501136557e-08,4.307276,322.4411635494278
3.339707985697259e-08,4.457585,319.0244573436038
3.377179595339064e-08,4.588647,315.7837267257497
3.26394894029683e-08,4.587801,315.8053196424721
3.2804030568081046e-08,4.6266300000000005,314.80604349236773
3.2619009026416756e-08,4.7158,312.45212314006164
3.297251183054815e-08,4.849272,308.7976192007758
3.269130749459623e-08,4.965476,305.5145309630762
3.2126128120362356e-08,5.048986,303.11055578134966
3.226678438364914e-08,5.090174,301.9139602331573
3.117138207778246e-08,5.027575,303.72991658698925
2.93574083602126e-08,4.845293,308.9085260135761
3.008716893347696e-08,4.926692,306.6191773743027
2.9554930805176132e-08,4.9675,305.4566622792093
2.8559003451745606e-08,5.0394,303.38808988572333
2.910722631362673e-08,5.0863,302.0267767080429
2.9200542856170253e-08,5.1664,299.6841623909657
2.8717790875396092e-08,5.2591,296.95216427484195
2.8487094137751684e-08,5.3015,295.6973747313802
2.8401987994573432e-08,5.400777,292.75218199732024
2.9227809817301344e-08,5.533474,288.81283972053905
