Year;Coal;Oil;Natural gas;Nuclear;Modern solid bioenergy;Modern liquid bioenergy;Traditionnal use of biomass;Hydro;Solar;Wind;Other renewable
2000;94.937;151.898;91.14;28.718;16.851;0;26.583;10.817;3.6;6.12;1
2001;97.177;154.17;89.407;29.454;15.129;1.511;26.538;9.069;3.83;6.42;1.07
2002;101.078;156.504;93.554;27.669;16.754;3.631;23.462;10.574;4.06;6.72;1.14
2003;109.481;160.329;93.143;30.693;15.476;4.359;24.509;11.28;4.29;7.02;1.21
2004;118.34;164.298;95.605;32.605;15.911;1.579;28.771;8.663;4.52;7.32;1.28
2005;126.022;166.636;99.241;28.017;21.024;1.161;27.14;7.954;4.75;7.62;1.35
2006;133.703;167.903;101.736;30.515;20.852;0.034;26.478;8.469;4.98;7.92;1.42
2007;138.901;169.669;106.233;32.015;20.127;0.759;25.926;12.344;5.21;8.22;1.49
2008;141.461;169.271;108.053;32.818;19.587;1.299;28.074;9.072;5.44;8.52;1.56
2009;142.405;165.215;106.334;32.271;18.99;1.896;28.487;11.375;5.67;8.82;1.63
2010;151.772;171.469;115.683;30.38;20.873;3.684;24.424;15.45;5.9;9.12;1.7
2011;160.81;171.347;114.235;30.38;21.714;3.798;25.539;15.519;6.13;9.42;1.77
2012;159.494;176.038;116.822;29.583;23.144;3.324;26.246;16.359;6.36;9.72;1.84
2013;163.937;173.228;121.474;28.739;23.218;4.41;25.53;17.833;6.59;10.02;1.91
2014;165.19;176.316;123.484;28.681;22.785;5.696;23.656;20.015;6.82;10.32;1.98
2015;161.609;181.445;120.306;30.311;22.785;5.696;26.202;17.583;7.05;10.62;2.05
2016;155.943;182.07;129.106;27.629;25.53;5.361;24.602;17.196;7.28;10.92;2.12
2017;158.94;186.383;128.966;30.236;26.415;4.63;27.595;15.49;7.51;11.22;2.19
2018;161.392;186.076;138.507;30.812;28.032;5.687;28.474;17.061;7.74;11.52;2.26
2019;158.756;187.877;138.554;32.21;30.38;6.41;24.107;23.362;7.97;11.82;2.33
2020;152.604;173.826;135.456;30.418;34.025;2.11;28.346;15.477;8.2;12.12;2.4
2021;146.446;178.062;139.077;30.034;36.178;6.026;23.138;23.065;8.43;12.42;2.47
2022;141.608;176.006;145.668;32.224;35.709;5.155;25.279;20.721;8.66;12.72;2.54
2023;134.734;174.118;147.708;31.879;36.802;8.738;21.343;25.025;8.89;13.02;2.61
2024;128.658;168.646;148.953;33.971;37.928;9.267;20.106;25.13;9.12;13.32;2.68
2025;120.163;163.592;149.428;34.636;41.905;10.529;16.916;25.892;9.35;13.62;2.799
2026;109.92;159.637;148.262;35.599;46.529;8.042;15.33;24.761;10.224;14.733;9.249
2027;101.577;153.043;145.124;38.737;45.322;11.923;13.184;29.19;8.254;18.662;10.727
2028;91.785;147.309;139.25;41.514;47.541;11.515;10.151;30.703;12.756;22.595;10.671
2029;81.513;141.095;133.033;44.018;50.797;11.392;7.373;32.5;16.289;27.1;10.683
2030;71.738;133.922;131.887;40.323;55.204;10.85;6.429;31.817;20.855;31.589;12.246
2031;68.479;126.939;122.354;45.337;56.309;11.504;7.268;33.111;25.12;34.863;13.94
2032;63.05;121.667;115.131;47.834;58.079;12.614;7.652;34.992;28.797;38.803;14.969
2033;57.765;115.999;108.16;48.954;61.182;13.054;8.678;36.347;32.848;42.967;15.998
2034;52.644;110.166;103.076;49.906;62.74;13.139;9.508;36.641;38.339;47.149;16.905
2035;47.523;104.334;98.939;50.842;64.944;11.646;10.337;34.727;45.771;51.599;17.751
2036;43.193;98.868;93.371;51.642;67.559;12.255;9.839;35.222;49.945;56.121;18.599
2037;39.587;93.299;86.247;54.563;68.988;13.294;10.712;36.864;52.174;59.997;20.132
2038;37.479;87.441;79.981;56.846;68.987;14.948;10.97;39;54.416;63.795;22.494
2039;35.219;82.001;75.35;57.571;71.031;15.158;10.986;38.688;59.555;66.443;24.855
2040;32.658;77.393;73.519;55.251;73.281;14.877;11.375;38.077;65.231;69.188;26.507
2041;29.93;73.309;70.771;55.594;75.485;14.391;10.782;39.165;68.664;72.759;27.147
2042;27.981;69.742;67.619;56.881;75.852;13.988;10.867;39.576;73.195;75.149;27.867
2043;26.926;64.897;65.837;57.588;75.579;13.819;11.379;40.966;76.32;77.851;28.275
2044;25.72;60.128;65.823;56.749;75.075;15.223;12.079;42.477;77.65;80.988;28.612
2045;24.228;55.839;64.878;56.928;75.076;16.033;12.588;43.786;79.23;84.075;28.954
2046;21.838;52.568;62.697;58.497;75.972;15.682;13.252;44.018;81.724;86.509;29.948
2047;20.886;48.777;61.765;58.873;75.724;15.526;13.976;44.36;84.795;88.075;30.498
2048;19.701;45.95;61.033;59.844;73.523;15.797;14.701;45.128;87.951;88.831;30.796
2049;17.089;45.273;59.841;60.848;73.516;15.881;13.122;48.341;88.61;89.039;31.695
2050;17;43.759;60.543;59;74.128;15.194;13.287;49.372;89.436;91.282;32.16
