Year;Energy world (TWh)
1800;5653
1810;5961
1820;6264
1830;6653
1840;7300
1850;7791
1860;8005
1870;8592
1880;9519
1890;10682
1900;12128
1910;15672
1920;18067
1930;20050
1940;22840
1950;28516
1960;41713
1965;52399
1966;54791
1967;56565
1968;59499
1969;62949
1970;66378
1971;68753
1972;72020
1973;75674
1974;76084
1975;76500
1976;80166
1977;82800
1978;85405
1979;88095
1980;87599
1981;87343
1982;86971
1983;88315
1984;92161
1985;94428
1986;96373
1987;99479
1988;102982
1989;104877
1990;106161
1991;106965
1992;107816
1993;108620
1994;110003
1995;112195
1996;115289
1997;116422
1998;117213
1999;119309
2000;122073
2001;123184
2002;125579
2003;129501
2004;135012
2005;139050
2006;142601
2007;146574
2008;148038
2009;145881
2010;152249
2011;155559
2012;157293
2013;159957
2014;161069
2015;162024
2016;164081
2017;166824
2018;171240
2019;173340
